Time [ns] - histogram	Counts - histogram
-11	26
-10.5	23
-10	60
-9.5	78
-9	109
-8.5	120
-8	155
-7.5	212
-7	315
-6.5	466
-6	596
-5.5	795
-5	1207
-4.5	1894
-4	259
-3.5	3384
-3	3845
-2.5	3543
-2	2667
-1.5	1858
-1	1278
-0.5	909
0	599
0.5	399
1	288
1.5	229
2	164
2.5	141
3	135
3.5	68
4	54
4.5	44
5	24
5.5	35
6	13
6.5	11
7	8
7.5	4
8	2
8.5	1
9	2
9.5	1
10	0
10.5	0
11	0
