Time [us] - histogram	Counts - histogram
0.005	75
0.015	42
0.025	27
0.035	137
0.045	101
0.055	42
0.065	6
0.075	13
0.085	12
0.095	11
0.105	11
0.115	14
0.125	12
0.135	6
0.145	6
0.155	6
0.165	5
0.175	11
0.185	23
0.195	40
0.205	47
0.215	23
0.225	11
0.235	14
0.245	12
0.255	37
0.265	30
0.275	18
0.285	7
0.295	8
0.305	6
0.315	12
0.325	63
0.335	1267
0.345	5588
0.355	7032
0.365	3306
0.375	1457
0.385	734
0.395	224
0.405	118
0.415	93
0.425	69
0.435	40
0.445	35
0.455	36
0.465	33
0.475	31
0.485	23
0.495	22
0.505	31
0.515	20
0.525	29
0.535	21
0.545	12
0.555	22
0.565	15
0.575	16
0.585	13
0.595	19
0.605	24
0.615	28
0.625	50
0.635	52
0.645	49
0.655	43
0.665	54
0.675	49
0.685	54
0.695	69
0.705	54
0.715	28
0.725	24
0.735	11
0.745	13
0.755	15
0.765	14
0.775	10
0.785	15
0.795	12
0.805	11
0.815	8
0.825	8
0.835	14
0.845	15
0.855	12
0.865	5
0.875	11
0.885	8
0.895	12
0.905	11
0.915	8
0.925	8
0.935	11
0.945	4
0.955	9
0.965	7
0.975	11
0.985	5
0.995	9
1.005	11
1.015	8
1.025	4
1.035	11
1.045	8
1.055	5
1.065	9
1.075	11
1.085	9
1.095	7
1.105	4
1.115	8
1.125	5
1.135	5
1.145	6
1.155	5
1.165	7
1.175	5
1.185	8
1.195	8
1.205	6
1.215	2
1.225	7
1.235	7
1.245	8
1.255	6
1.265	8
1.275	7
1.285	5
1.295	7
1.305	9
1.315	1
1.325	10
1.335	4
1.345	6
1.355	4
1.365	6
1.375	5
1.385	7
1.395	7
1.405	9
1.415	5
1.425	4
1.435	6
1.445	4
1.455	7
1.465	4
1.475	8
1.485	1
1.495	4
1.505	11
1.515	4
1.525	5
1.535	5
1.545	6
1.555	4
1.565	3
1.575	7
1.585	2
1.595	6
1.605	8
1.615	3
1.625	6
1.635	5
1.645	4
1.655	4
1.665	4
1.675	4
1.685	3
1.695	3
1.705	4
1.715	6
1.725	6
1.735	2
1.745	4
1.755	4
1.765	10
1.775	4
1.785	7
1.795	5
1.805	3
1.815	9
1.825	5
1.835	7
1.845	5
1.855	3
1.865	2
1.875	2
1.885	2
1.895	5
1.905	4
1.915	5
1.925	6
1.935	10
1.945	8
1.955	4
1.965	4
1.975	1
1.985	4
1.995	4
2.005	4
2.015	4
2.025	3
2.035	3
2.045	4
2.055	5
2.065	1
2.075	2
2.085	6
2.095	5
2.105	6
2.115	4
2.125	4
2.135	2
2.145	7
2.155	7
2.165	6
2.175	9
2.185	4
2.195	1
2.205	5
2.215	3
2.225	4
2.235	2
2.245	3
2.255	4
2.265	3
2.275	6
2.285	4
2.295	0
2.305	2
2.315	2
2.325	3
2.335	2
2.345	2
2.355	5
2.365	3
2.375	8
2.385	3
2.395	4
2.405	6
2.415	1
2.425	3
2.435	2
2.445	3
2.455	3
2.465	3
2.475	2
2.485	9
2.495	4
2.505	3
2.515	4
2.525	1
2.535	5
2.545	1
2.555	0
2.565	2
2.575	2
2.585	2
2.595	5
2.605	1
2.615	2
2.625	0
2.635	1
2.645	1
2.655	1
2.665	1
2.675	2
2.685	3
2.695	2
2.705	6
2.715	4
