	time	error
520	1.0	5e-10
521	1.0	5e-10
522	1.0	5e-10
523	1.0	5e-10
524	1.0	5e-10
525	1.0	5e-10
526	1.0	5e-10
527	1.0	5e-10
528	1.0	5e-10
529	1.0	5e-10
530	1.0	5e-10
531	1.0	5e-10
532	1.0	5e-10
533	1.0	5e-10
534	1.0	5e-10
535	1.0	5e-10
536	1.0	5e-10
537	1.0	5e-10
538	1.0	5e-10
539	1.0	5e-10
540	1.0	5e-10
541	1.0	5e-10
542	1.0	5e-10
543	1.0	5e-10
544	1.0	5e-10
545	1.0	5e-10
546	1.0	5e-10
547	1.0	5e-10
548	1.0	5e-10
549	1.0	5e-10
550	1.0	5e-10
551	1.0	5e-10
552	1.0	5e-10
553	1.0	5e-10
554	1.0	5e-10
555	1.0	5e-10
556	1.0	5e-10
557	1.0	5e-10
558	1.0	5e-10
559	1.0	5e-10
560	1.0	5e-10
561	1.0	5e-10
562	1.0	5e-10
563	1.0	5e-10
564	1.0	5e-10
565	1.0	5e-10
566	1.0	5e-10
567	1.0	5e-10
568	1.0	5e-10
569	1.0	5e-10
570	1.0	5e-10
571	1.0	5e-10
572	1.0	5e-10
573	1.0	5e-10
574	1.0	5e-10
575	1.0	5e-10
576	1.0	5e-10
577	1.0	5e-10
578	1.0	5e-10
579	1.0	5e-10
580	1.0	5e-10
581	1.0	5e-10
582	1.0	5e-10
583	1.0	5e-10
584	1.0	5e-10
585	1.0	5e-10
586	1.0	5e-10
587	1.0	5e-10
588	1.0	5e-10
589	1.0	5e-10
590	1.0	5e-10
591	1.0	5e-10
592	1.0	5e-10
593	1.0	5e-10
594	1.0	5e-10
595	1.0	5e-10
596	0.5	5e-10
597	0.5	5e-10
598	0.5	5e-10
599	0.5	5e-10
600	0.5	5e-10
601	0.5	5e-10
602	0.5	5e-10
603	0.5	5e-10
604	0.5	5e-10
605	0.5	5e-10
606	0.5	5e-10
607	0.5	5e-10
608	0.5	5e-10
609	0.5	5e-10
610	0.5	5e-10
611	0.5	5e-10
612	0.5	5e-10
613	0.5	5e-10
614	0.5	5e-10
615	0.5	5e-10
616	0.5	5e-10
617	0.5	5e-10
618	0.5	5e-10
619	0.5	5e-10
620	0.5	5e-10
621	0.5	5e-10
622	0.5	5e-10
623	0.5	5e-10
624	0.5	5e-10
625	0.5	5e-10
626	0.5	5e-10
627	0.5	5e-10
628	0.5	5e-10
629	0.5	5e-10
630	0.5	5e-10
631	0.5	5e-10
632	0.5	5e-10
633	0.5	5e-10
634	0.5	5e-10
635	0.5	5e-10
636	0.5	5e-10
637	0.5	5e-10
638	0.5	5e-10
639	0.5	5e-10
640	0.5	5e-10
641	0.5	5e-10
642	0.5	5e-10
643	0.5	5e-10
644	0.5	5e-10
645	0.5	5e-10
646	0.5	5e-10
647	0.5	5e-10
648	0.5	5e-10
649	0.5	5e-10
650	0.5	5e-10
651	0.5	5e-10
652	0.5	5e-10
653	0.5	5e-10
654	0.5	5e-10
655	0.5	5e-10
656	0.5	5e-10
657	0.5	5e-10
658	0.5	5e-10
659	0.5	5e-10
660	0.5	5e-10
661	0.5	5e-10
662	0.5	5e-10
663	0.5	5e-10
664	0.5	5e-10
665	0.5	5e-10
666	0.5	5e-10
667	0.5	5e-10
668	0.5	5e-10
669	0.5	5e-10
670	0.5	5e-10
671	0.5	5e-10
672	0.5	5e-10
673	0.5	5e-10
674	0.5	5e-10
675	0.5	5e-10
