Time [us] - histogram	Counts - histogram
0.005	0
0.015	4
0.025	9
0.035	7
0.045	11
0.055	13
0.065	6
0.075	11
0.085	13
0.095	7
0.105	14
0.115	8
0.125	9
0.135	9
0.145	9
0.155	10
0.165	9
0.175	8
0.185	11
0.195	6
0.205	10
0.215	7
0.225	12
0.235	11
0.245	11
0.255	8
0.265	9
0.275	2
0.285	8
0.295	7
0.305	8
0.315	8
0.325	6
0.335	9
0.345	6
0.355	11
0.365	10
0.375	15
0.385	7
0.395	9
0.405	7
0.415	5
0.425	11
0.435	6
0.445	12
0.455	7
0.465	8
0.475	2
0.485	6
0.495	7
0.505	8
0.515	9
0.525	8
0.535	4
0.545	4
0.555	10
0.565	3
0.575	9
0.585	7
0.595	8
0.605	5
0.615	3
0.625	6
0.635	9
0.645	5
0.655	9
0.665	7
0.675	8
0.685	6
0.695	3
0.705	6
0.715	9
0.725	5
0.735	5
0.745	2
0.755	6
0.765	4
0.775	7
0.785	7
0.795	5
0.805	7
0.815	8
0.825	7
0.835	5
0.845	3
0.855	5
0.865	3
0.875	7
0.885	2
0.895	8
0.905	10
0.915	4
0.925	9
0.935	5
0.945	6
0.955	7
0.965	3
0.975	7
0.985	8
0.995	8
1.005	5
1.015	4
1.025	3
1.035	6
1.045	6
1.055	4
1.065	5
1.075	7
1.085	7
1.095	5
1.105	8
1.115	6
1.125	6
1.135	6
1.145	6
1.155	7
1.165	4
1.175	7
1.185	7
1.195	5
1.205	7
1.215	4
1.225	3
1.235	7
1.245	7
1.255	4
1.265	7
1.275	5
1.285	10
1.295	4
1.305	7
1.315	4
1.325	6
1.335	10
1.345	7
1.355	5
1.365	7
1.375	8
1.385	5
1.395	6
1.405	7
1.415	3
1.425	1
1.435	3
1.445	6
1.455	9
1.465	5
1.475	4
1.485	5
1.495	5
1.505	4
1.515	5
1.525	6
1.535	2
1.545	8
1.555	3
1.565	3
1.575	2
1.585	3
1.595	4
1.605	4
1.615	2
1.625	2
1.635	3
1.645	9
1.655	2
1.665	2
1.675	7
1.685	2
1.695	5
1.705	5
1.715	2
1.725	3
1.735	6
1.745	3
1.755	4
1.765	2
1.775	6
1.785	4
1.795	3
1.805	1
1.815	4
1.825	3
1.835	3
1.845	9
1.855	3
1.865	4
1.875	4
1.885	5
1.895	4
1.905	1
1.915	2
1.925	8
1.935	3
1.945	1
1.955	5
1.965	3
1.975	3
1.985	1
1.995	2
2.005	3
2.015	3
2.025	3
2.035	0
2.045	5
2.055	4
2.065	1
2.075	3
2.085	2
2.095	1
2.105	1
2.115	4
2.125	3
2.135	5
2.145	2
2.155	5
2.165	4
2.175	7
2.185	2
2.195	3
2.205	7
2.215	2
2.225	3
2.235	4
2.245	5
2.255	4
2.265	5
2.275	7
2.285	2
2.295	2
2.305	2
2.315	4
2.325	5
2.335	3
2.345	3
2.355	3
2.365	2
2.375	1
2.385	2
2.395	5
2.405	1
2.415	2
2.425	3
2.435	3
2.445	1
2.455	3
2.465	3
2.475	5
2.485	4
2.495	5
2.505	4
2.515	2
2.525	4
2.535	2
2.545	3
2.555	7
2.565	1
2.575	4
2.585	0
2.595	7
2.605	1
2.615	1
2.625	6
2.635	0
2.645	1
2.655	1
2.665	0
2.675	3
2.685	2
2.695	1
2.705	2
2.715	2
2.725	1
2.735	0
2.745	1
2.755	3
2.765	3
2.775	0
2.785	1
2.795	1
2.805	3
2.815	2
2.825	0
2.835	1
2.845	1
2.855	0
2.865	0
2.875	3
2.885	2
2.895	4
2.905	5
2.915	1
2.925	3
2.935	2
2.945	1
2.955	2
2.965	4
2.975	1
2.985	3
2.995	0
3.005	1
3.015	2
3.025	2
3.035	3
3.045	4
3.055	4
3.065	3
3.075	1
3.085	3
3.095	0
3.105	3
3.115	5
3.125	2
3.135	4
3.145	3
3.155	3
3.165	2
3.175	2
3.185	2
3.195	2
3.205	0
3.215	2
3.225	4
3.235	3
3.245	3
3.255	2
3.265	4
3.275	3
3.285	5
3.295	4
3.305	2
3.315	3
3.325	3
3.335	0
3.345	0
3.355	1
3.365	1
3.375	3
3.385	4
3.395	2
3.405	0
3.415	1
3.425	0
3.435	4
3.445	0
3.455	3
3.465	1
3.475	3
3.485	3
3.495	1
3.505	2
3.515	1
3.525	0
3.535	1
3.545	3
3.555	2
3.565	1
3.575	2
3.585	1
3.595	1
3.605	1
3.615	3
3.625	5
3.635	0
3.645	1
3.655	2
3.665	1
3.675	0
3.685	2
3.695	2
3.705	0
3.715	1
3.725	0
3.735	0
3.745	1
3.755	2
3.765	1
3.775	3
3.785	1
3.795	2
3.805	3
3.815	2
3.825	1
3.835	2
3.845	0
3.855	0
3.865	4
3.875	0
