Time [ns] - histogram	Counts - histogram
-15	0
-14.5	0
-14	0
-13.5	1
-13	0
-12.5	0
-12	0
-11.5	2
-11	2
-10.5	3
-10	9
-9.5	27
-9	35
-8.5	53
-8	66
-7.5	110
-7	157
-6.5	249
-6	334
-5.5	382
-5	454
-4.5	554
-4	658
-3.5	732
-3	718
-2.5	758
-2	683
-1.5	637
-1	545
-0.5	504
0	418
0.5	329
1	245
1.5	222
2	162
2.5	72
3	55
3.5	28
4	12
4.5	12
5	4
5.5	1
6	0
6.5	0
7	0
7.5	0
8	0
8.5	1
9	0
9.5	0
10	0
10.5	0
11	0
