Time [ns] - histogram	Counts - histogram
-11	0
-10.5	0
-10	0
-9.5	0
-9	0
-8.5	0
-8	0
-7.5	0
-7	0
-6.5	0
-6	0
-5.5	0
-5	0
-4.5	0
-4	0
-3.5	0
-3	0
-2.5	0
-2	0
-1.5	0
-1	0
-0.5	2
0	6
0.5	6
1	11
1.5	17
2	22
2.5	22
3	39
3.5	45
4	42
4.5	45
5	64
5.5	80
6	68
6.5	68
7	48
7.5	51
8	35
8.5	27
9	16
9.5	17
10	13
10.5	11
11	4
