Time [ns] - histogram	Counts - histogram
-11	0
-10.5	0
-10	0
-9.5	0
-9	1
-8.5	2
-8	1
-7.5	0
-7	1
-6.5	3
-6	0
-5.5	2
-5	2
-4.5	3
-4	3
-3.5	2
-3	5
-2.5	4
-2	9
-1.5	9
-1	8
-0.5	7
0	21
0.5	19
1	17
1.5	37
2	31
2.5	41
3	47
3.5	73
4	102
4.5	150
5	224
5.5	296
6	376
6.5	363
7	304
7.5	256
8	119
8.5	101
9	73
9.5	65
10	41
10.5	29
11	22
