Time [us] - histogram	Counts - histogram
5.235	0
5.245	0
5.255	0
5.265	0
5.275	0
5.285	0
5.295	0
5.305	0
5.315	0
5.325	0
5.335	2
5.345	0
5.355	0
5.365	0
5.375	1
5.385	0
5.395	1
5.405	0
5.415	1
5.425	1
5.435	0
5.445	2
5.455	0
5.465	0
5.475	0
5.485	0
5.495	0
5.505	1
5.515	0
5.525	0
5.535	0
5.545	1
5.555	0
5.565	0
5.575	2
5.585	0
5.595	1
5.605	0
5.615	0
5.625	1
5.635	1
5.645	0
5.655	0
5.665	0
5.675	0
5.685	1
5.695	0
5.705	0
5.715	0
5.725	0
5.735	0
5.745	1
5.755	1
5.765	0
5.775	1
5.785	1
5.795	1
5.805	3
5.815	0
5.825	1
5.835	1
5.845	2
5.855	1
5.865	1
5.875	1
5.885	0
5.895	0
5.905	2
5.915	0
5.925	0
5.935	0
5.945	1
5.955	1
5.965	0
5.975	0
5.985	0
5.995	0
6.005	0
6.015	0
6.025	0
6.035	0
6.045	1
6.055	0
6.065	0
6.075	0
6.085	1
6.095	0
6.105	0
6.115	2
6.125	0
6.135	0
6.145	0
6.155	0
6.165	2
6.175	0
6.185	1
6.195	0
6.205	0
6.215	1
6.225	1
6.235	0
6.245	0
6.255	0
6.265	0
6.275	0
6.285	0
6.295	0
6.305	0
6.315	0
6.325	0
6.335	0
6.345	0
6.355	1
6.365	0
6.375	0
6.385	0
6.395	1
6.405	0
6.415	0
6.425	0
6.435	0
6.445	0
6.455	1
6.465	0
6.475	0
6.485	0
6.495	0
6.505	0
6.515	0
6.525	1
6.535	0
6.545	0
6.555	1
6.565	0
6.575	1
6.585	0
6.595	0
6.605	0
6.615	0
6.625	0
6.635	0
6.645	2
6.655	0
6.665	0
6.675	0
6.685	0
6.695	0
6.705	1
6.715	2
6.725	0
6.735	0
6.745	1
6.755	1
6.765	0
6.775	1
6.785	0
6.795	1
6.805	0
6.815	0
6.825	0
6.835	0
6.845	0
6.855	0
6.865	0
6.875	1
6.885	0
6.895	2
6.905	1
6.915	0
6.925	0
6.935	0
6.945	1
6.955	0
6.965	1
6.975	0
6.985	1
6.995	0
7.005	0
7.015	0
7.025	0
7.035	0
7.045	1
7.055	0
7.065	0
7.075	1
7.085	0
7.095	0
7.105	0
7.115	2
7.125	1
7.135	2
7.145	2
7.155	0
7.165	0
7.175	0
7.185	0
7.195	0
7.205	0
7.215	1
7.225	0
7.235	0
7.245	0
7.255	1
7.265	1
7.275	1
7.285	0
7.295	0
7.305	0
7.315	1
7.325	1
7.335	0
7.345	0
7.355	1
7.365	1
7.375	0
7.385	0
7.395	0
7.405	1
7.415	1
7.425	0
7.435	1
7.445	0
7.455	0
7.465	2
7.475	2
7.485	0
7.495	0
7.505	1
7.515	0
7.525	0
7.535	0
7.545	0
7.555	0
7.565	0
7.575	0
7.585	0
7.595	0
7.605	0
7.615	0
7.625	1
7.635	0
7.645	2
7.655	0
7.665	1
7.675	1
7.685	0
7.695	1
7.705	1
7.715	0
7.725	0
7.735	2
7.745	1
7.755	0
7.765	0
7.775	0
7.785	1
7.795	1
7.805	1
7.815	1
7.825	0
7.835	0
7.845	0
7.855	0
7.865	0
7.875	0
7.885	1
7.895	1
7.905	0
7.915	0
7.925	0
7.935	0
7.945	0
7.955	2
7.965	1
7.975	0
7.985	0
7.995	0
8.005	1
8.015	1
8.025	0
8.035	0
8.045	2
8.055	1
8.065	0
8.075	0
8.085	1
8.095	3
8.105	0
8.115	1
8.125	2
8.135	1
8.145	0
8.155	1
8.165	1
8.175	0
8.185	0
8.195	0
8.205	0
8.215	0
8.225	1
8.235	0
8.245	0
8.255	1
8.265	1
8.275	0
8.285	0
8.295	1
8.305	0
8.315	0
8.325	1
8.335	0
8.345	0
8.355	0
8.365	0
8.375	1
8.385	0
8.395	0
8.405	0
8.415	1
8.425	1
8.435	0
8.445	0
8.455	0
8.465	0
8.475	0
8.485	0
8.495	0
8.505	1
8.515	0
8.525	0
8.535	0
8.545	0
8.555	0
8.565	0
8.575	1
8.585	0
8.595	0
8.605	0
8.615	1
8.625	1
8.635	0
8.645	1
8.655	0
8.665	0
8.675	0
8.685	0
8.695	0
8.705	0
8.715	0
8.725	1
8.735	0
8.745	1
8.755	0
8.765	1
8.775	1
8.785	1
8.795	0
8.805	0
8.815	0
8.825	0
8.835	2
8.845	0
8.855	0
8.865	0
8.875	0
8.885	0
8.895	0
8.905	0
8.915	0
8.925	0
8.935	0
8.945	0
8.955	0
8.965	0
8.975	0
8.985	2
8.995	0
9.005	0
9.015	0
9.025	0
9.035	0
9.045	0
9.055	0
9.065	0
9.075	0
9.085	0
9.095	1
9.105	0
9.115	0
9.125	1
9.135	0
9.145	0
9.155	1
9.165	0
9.175	0
9.185	0
9.195	0
9.205	0
9.215	0
9.225	1
9.235	0
9.245	1
9.255	0
9.265	2
9.275	0
9.285	1
9.295	0
9.305	0
9.315	0
9.325	1
9.335	0
9.345	0
9.355	0
9.365	2
9.375	0
9.385	1
9.395	0
9.405	0
9.415	0
9.425	0
9.435	3
9.445	1
9.455	0
9.465	0
9.475	0
9.485	0
9.495	1
9.505	0
9.515	0
9.525	0
9.535	0
9.545	0
9.555	0
9.565	0
9.575	1
9.585	0
9.595	0
9.605	0
9.615	2
9.625	1
9.635	0
9.645	0
9.655	0
9.665	2
9.675	0
9.685	0
9.695	0
9.705	0
9.715	1
9.725	0
9.735	0
9.745	0
9.755	0
9.765	0
9.775	1
9.785	0
9.795	0
9.805	0
9.815	1
9.825	2
9.835	0
9.845	1
9.855	0
9.865	0
9.875	0
9.885	0
9.895	0
9.905	0
9.915	0
9.925	0
9.935	0
9.945	2
9.955	0
9.965	0
9.975	0
9.985	0
9.995	0
