	t	acc_x	acc_y	acc_z	humidity	temp_from_hum	temp_from_pressure	pressure	compass_x	compass_y	compass_z	gyro_x	gyro_y	gyro_z	index
0	1512722574.4105792	0.008243161253631115	0.043459873646497726	0.9699134826660156	27.12211990356445	33.162403106689446	32.90833282470703	1013.315185546875	3.0423755645751958	-20.47560310363769	2.2567622661590576	0.11560985445976255	-0.007626868784427644	0.0051213763654232025	0
1	1512722574.4605784	0.0048489184118807325	0.04103194549679756	0.9730815291404724	27.12211990356445	33.162403106689446	32.900001525878906	1013.31396484375	5.952301979064941	-38.40538787841797	4.160749435424806	0.1085849106311798	-0.014651820063591003	0.006343107670545578	1
2	1512722574.5029135	0.007273377384990455	0.024279257282614708	0.9728378057479858	26.440584182739254	33.14369964599609	32.90416717529297	1013.319580078125	7.732878684997559	-47.5565071105957	4.914519786834717	0.09981456398963927	-0.0044340938329696655	0.006862767040729523	2
3	1512722574.549959	0.007030931767076254	0.04831572249531746	0.9704008698463441	26.440584182739254	33.14369964599609	32.910415649414055	1013.321044921875	9.206926345825195	-52.18115615844727	4.967795848846436	0.1056675985455513	-0.008702367544174194	0.0052664615213871	3
4	1512722574.5924585	0.006061147898435593	0.04151752963662148	0.9740563035011292	26.689212799072266	33.181102752685554	32.90833282470703	1013.319580078125	9.665385246276855	-54.63380432128906	4.950207710266113	0.11849576979875565	-0.00992409884929657	0.0074044913053512565	4
5	1512722574.6359465	0.006061147898435593	0.04297428578138352	0.9716193079948424	26.689212799072266	33.181102752685554	32.914581298828125	1013.317626953125	9.739046096801758	-55.81854629516602	4.9664177894592285	0.11360884457826614	-0.010534964501857758	0.0074044913053512565	5
6	1512722574.6783063	0.0012122296029701831	0.03981798142194748	0.9755184650421144	28.265811920166016	33.14369964599609	32.90833282470703	1013.322265625	9.589947700500488	-56.8772087097168	5.30128288269043	0.10475129634141922	-0.007786072790622711	0.010153383016586305	6
7	1512722574.7217042	0.006788485683500767	0.04321707785129547	0.969669759273529	28.265811920166016	33.14369964599609	32.90625	1013.320556640625	9.689969062805176	-57.208702087402344	5.446649551391602	0.10383499413728714	-0.07711927592754364	0.007099058479070664	7
8	1512722574.7679513	0.006061147898435593	0.043945454061031335	0.9708882570266724	26.074953079223636	33.012794494628906	32.91249847412109	1013.32177734375	9.179109573364258	-57.10261154174805	5.7832889556884775	0.1160523071885109	-0.00992409884929657	0.00984795019030571	8
9	1512722574.811334	0.00654603959992528	0.0424887016415596	0.9699134826660156	26.074953079223636	33.012794494628906	32.90833282470703	1013.322998046875	9.471961975097656	-56.99744033813477	5.4269328117370605	0.09925351291894913	-0.003510013222694397	0.0074044913053512565	9
10	1512722574.8537574	0.0036366886924952273	0.04321707785129547	0.9730815291404724	26.665813446044922	33.125	32.910415649414055	1013.32275390625	9.772632598876953	-56.84321212768555	5.099346160888672	0.10200240463018416	-0.006564341485500336	0.006488192826509476	10
11	1512722574.897226	0.006061147898435593	0.04491662606596947	0.9716193079948424	26.665813446044922	33.125	32.91666793823242	1013.320556640625	9.245054244995117	-56.58408737182617	4.981964588165283	0.10627845674753188	-0.009007804095745087	0.0067936256527900704	11
12	1512722574.93971	0.0055762561969459066	0.04370266199111938	0.9713756442070008	26.56928634643555	33.181102752685554	32.90833282470703	1013.31884765625	9.460770606994627	-56.78813552856445	4.808877944946289	0.1105545237660408	-0.0056480392813682565	0.008626218885183334	12
13	1512722574.9867532	0.006788485683500767	0.04564500227570534	0.972594141960144	26.56928634643555	33.181102752685554	32.90833282470703	1013.31640625	9.50535774230957	-56.68595886230469	4.903450965881348	0.10750018805265428	-0.008091501891613007	0.007709924131631851	13
14	1512722575.0290284	0.007030931767076254	0.04613059014081955	0.9723504185676576	26.57221221923828	33.19980239868164	32.91249847412109	1013.316162109375	9.50421905517578	-56.8458023071289	4.785268783569336	0.10933279246091844	-0.009618662297725676	0.0074044913053512565	14
15	1512722575.0728388	0.005818701814860106	0.0441882498562336	0.9716193079948424	26.817914962768555	33.14369964599609	32.90833282470703	1013.315185546875	9.178473472595217	-56.7472152709961	5.414892196655273	0.10444586724042892	-0.009007804095745087	0.006182760000228882	15
16	1512722575.116338	0.00654603959992528	0.0441882498562336	0.9706445932388306	26.817914962768555	33.14369964599609	32.91666793823242	1013.314697265625	9.138385772705078	-56.70259475708008	5.218635082244873	0.10902736335992813	-0.0056480392813682565	0.0067936256527900704	16
17	1512722575.1587393	0.006061147898435593	0.04564500227570534	0.9716193079948424	26.583911895751953	33.181102752685554	32.91249847412109	1013.31591796875	9.453033447265623	-56.95237350463867	5.176685810089111	0.10658390074968338	-0.006564341485500336	0.008931651711463928	17
18	1512722575.2059314	0.0048489184118807325	0.045159418135881424	0.974299967288971	26.583911895751953	33.181102752685554	32.910415649414055	1013.311279296875	9.628411293029783	-57.26770401000977	5.344697952270508	0.10811106115579604	-0.007786072790622711	0.006488192826509476	18
19	1512722575.2668364	0.007758269552141428	0.04297428578138352	0.9728378057479858	27.44387435913086	33.162403106689446	32.91666793823242	1013.30615234375	9.766327857971193	-57.35978317260742	5.007479667663574	0.10688932985067368	-0.009007804095745087	0.005877327173948288	19
20	1512722575.315131	0.004606472328305245	0.04564500227570534	0.9721066951751708	27.44387435913086	33.162403106689446	32.91249847412109	1013.3115234375	9.967583656311037	-57.24236297607422	4.947317123413086	0.10750018805265428	-0.007480636239051819	0.005571894347667694	20
