Time [ns] - histogram	Counts - histogram
-11	0
-10.5	0
-10	1
-9.5	1
-9	0
-8.5	0
-8	0
-7.5	1
-7	2
-6.5	0
-6	1
-5.5	5
-5	8
-4.5	10
-4	13
-3.5	16
-3	23
-2.5	16
-2	17
-1.5	19
-1	11
-0.5	7
0	4
0.5	0
1	0
1.5	1
2	0
2.5	0
3	0
3.5	0
4	1
4.5	0
5	0
5.5	0
6	0
6.5	0
7	0
7.5	0
8	0
8.5	0
9	1
9.5	0
10	0
10.5	0
11	0
