Time - Voltage_0	Piezo spanning  (Volt) - Voltage_0	
9.708	0.00396729	
9.709	0.000152588	
9.71	-0.00335693	
9.711	-0.00839233	
9.712	-0.0120544	
9.713	-0.0146484	
9.714	-0.0160217	
9.715	-0.0154114	
9.716	-0.0123596	
9.717	-0.00839233	
9.718	-0.00244141	
9.719	0.00335693	
9.72	0.00808716	
9.721	0.01297	
9.722	0.0144958	
9.723	0.014801	
9.724	0.0152588	
9.725	0.014801	
9.726	0.0131226	
9.727	0.0108337	
9.728	0.00564575	
9.729	0.000762939	
9.73	-0.00473022	
9.731	-0.0102234	
9.732	-0.0135803	
9.733	-0.0152588	
9.734	-0.0157166	
9.735	-0.0146484	
9.736	-0.0106812	
9.737	-0.00732422	
9.738	-0.00183105	
9.739	0.00274658	
9.74	0.00701904	
9.741	0.0123596	
9.742	0.014801	
9.743	0.0163269	
9.744	0.0169373	
9.745	0.0167847	
9.746	0.0140381	
9.747	0.0105286	
9.748	0.00488281	
9.749	-0.000457764	
9.75	-0.00534058	
9.751	-0.010376	
9.752	-0.0131226	
9.753	-0.0149536	
9.754	-0.0154114	
9.755	-0.0154114	
9.756	-0.0120544	
9.757	-0.00793457	
9.758	-0.00244141	
9.759	0.00228882	
9.76	0.00656128	
9.761	0.0108337	
9.762	0.0143433	
9.763	0.0161743	
9.764	0.0177002	
9.765	0.0170898	
9.766	0.0141907	
9.767	0.010376	
9.768	0.00457764	
9.769	-0.000305176	
9.77	-0.00534058	
9.771	-0.0102234	
9.772	-0.0134277	
9.773	-0.0151062	
9.774	-0.0161743	
9.775	-0.0154114	
9.776	-0.0119019	
9.777	-0.00823975	
9.778	-0.00305176	
9.779	0.0012207	
9.78	0.0062561	
9.781	0.0114441	
9.782	0.0146484	
9.783	0.0164795	
9.784	0.0172424	
9.785	0.0163269	
9.786	0.01297	
9.787	0.010376	
9.788	0.0050354	
9.789	0.000305176	
9.79	-0.00473022	
9.791	-0.00976562	
9.792	-0.0126648	
9.793	-0.0144958	
9.794	-0.0149536	
9.795	-0.014801	
9.796	-0.0114441	
9.797	-0.00793457	
9.798	-0.00350952	
9.799	0.00183105	
9.8	0.00579834	
9.801	0.0112915	
9.802	0.0143433	
9.803	0.0160217	
9.804	0.0164795	
9.805	0.0166321	
9.806	0.0134277	
9.807	0.010376	
9.808	0.00488281	
9.809	-0.000457764	
9.81	-0.00518799	
9.811	-0.0100708	
9.812	-0.0151062	
9.813	-0.0164795	
9.814	-0.0167847	
9.815	-0.0141907	
9.816	-0.0109863	
9.817	-0.00732422	
9.818	0.000305176	
9.819	0.000915527	
9.82	0.00457764	
