Time [ns] - histogram	Counts - histogram
-23	0
-22.5	0
-22	0
-21.5	0
-21	0
-20.5	0
-20	0
-19.5	0
-19	0
-18.5	0
-18	0
-17.5	0
-17	0
-16.5	0
-16	0
-15.5	2
-15	2
-14.5	3
-14	4
-13.5	7
-13	10
-12.5	19
-12	24
-11.5	36
-11	38
-10.5	51
-10	71
-9.5	81
-9	95
-8.5	117
-8	92
-7.5	90
-7	97
-6.5	79
-6	69
-5.5	53
-5	40
-4.5	44
-4	23
-3.5	24
-3	11
-2.5	6
-2	3
-1.5	0
-1	4
-0.5	0
0	0
0.5	1
1	0
1.5	0
2	0
2.5	0
3	1
3.5	0
4	0
4.5	0
5	0
5.5	1
6	0
6.5	0
7	0
7.5	0
8	0
8.5	0
9	0
9.5	0
10	0
10.5	0
11	0
11.5	0
12	0
12.5	0
13	0
