0	9.495	383.0
1	8.835	245.57208876867261
2	8.825	157.4560072642528
3	8.715	100.95770389832336
4	8.665	64.73209980052332
5	8.495	41.504952893986115
6	8.375	26.61216181833299
7	7.875	17.063196251639553
8	7.745	10.940586800482794
9	7.735	7.01488969438519
10	7.615	4.497809699039181
11	7.585	2.883907369913959
12	7.505	1.849104847637442
13	7.305	1.185609764455887
14	7.275	0.7601897293001723
15	7.275	0.48741874591314643
16	7.205	0.3125233408326328
17	6.905	0.20038383706849455
18	6.895	0.12848218648666204
19	6.855	0.08238025823784781
20	6.745	0.05282060597590322
21	6.735	0.0338675366567352
22	6.695	0.021715200308731194
23	6.515	0.013923360568786559
24	6.445	0.008927385737744877
25	6.395	0.005724064654991296
26	6.385	0.0036701579988854924
27	6.365	0.0023532333313247044
28	6.335	0.0015088470614450895
29	6.325	0.000967443144938758
30	6.255	0.0006203055714557296
31	6.245	0.0003977277672512495
32	6.235	0.0002550152442955352
33	6.105	0.00016351077339297096
34	6.105	0.00010483990119658738
35	5.965	6.722128857218593e-05
36	5.935	4.310097191747624e-05
37	5.765	2.7635497915756025e-05
38	5.765	1.7719339288079614e-05
39	5.595	1.136129284745306e-05
40	5.595	7.284638160996403e-06
41	5.565	4.670767125639351e-06
42	5.475	2.9948042798832958e-06
43	5.345	1.920209771447265e-06
44	5.325	1.2312008471235492e-06
45	5.305	7.894218373939677e-07
46	5.245	5.061618003353534e-07
47	5.245	3.245410197474264e-07
48	5.225	2.0808933710310875e-07
49	5.075	1.3342280199190275e-07
50	5.065	8.554808400658125e-08
51	4.995	5.4851753732778054e-08
52	4.955	3.51698687644469e-08
53	4.905	2.2550230115418543e-08
54	4.875	1.4458765304588944e-08
55	4.865	9.270676754213904e-09
56	4.865	5.94417612227541e-09
57	4.785	3.811289154976614e-09
58	4.735	2.4437238608067742e-09
59	4.715	1.5668678142876383e-09
60	4.715	1.00464491378334e-09
61	4.685	6.441586160537812e-10
62	4.655	4.1302187165186453e-10
63	4.645	2.648215240958098e-10
64	4.585	1.6979836768436415e-10
65	4.575	1.0887138334663264e-10
66	4.535	6.980619586310051e-11
67	4.495	4.4758363778320186e-11
68	4.445	2.8698185072872593e-11
69	4.425	1.8400713452259136e-11
70	4.395	1.1798176598707822e-11
71	4.385	7.564759454324667e-12
72	4.375	4.850375405303069e-12
73	4.355	3.1099655864033255e-12
74	4.345	1.994048942693879e-12
75	4.295	1.2785450756247944e-12
76	4.285	8.197780282143125e-13
77	4.245	5.256255945567961e-13
78	4.235	3.3702082288665283e-13
79	4.235	2.160911421274458e-13
80	4.215	1.3855340244554844e-13
81	4.205	8.883772439832872e-14
82	4.165	5.696100663695375e-14
83	4.145	3.652228036084328e-14
84	4.125	2.3417369908113065e-14
85	4.095	1.501475833369189e-14
86	4.015	9.627168580578479e-15
87	3.995	6.1727516899759725e-15
88	3.995	3.9578473262604316e-15
89	3.955	2.5376940859981245e-15
90	3.955	1.6271196797766786e-15
91	3.935	1.0432772283012357e-15
92	3.905	6.689288984823139e-16
93	3.905	4.289040909609093e-16
94	3.855	2.750048916415128e-16
95	3.815	1.7632774324284303e-16
96	3.815	1.1305789090342357e-16
97	3.795	7.249050240452815e-17
98	3.795	4.6479488489217985e-17
99	3.765	2.9801736483542444e-17
100	3.725	1.910828897440492e-17
101	3.695	1.2251860146840786e-17
102	3.675	7.855652447940811e-18
103	3.655	5.036890287941421e-18
104	3.645	3.229555271301351e-18
105	3.625	2.070727503309011e-18
106	3.555	1.3277098649042545e-18
107	3.545	8.513015269015937e-19
108	3.535	5.458378436897782e-19
109	3.485	3.4998052063678136e-19
110	3.475	2.2440064616480954e-19
111	3.435	1.4388129347188457e-19
112	3.435	9.22538636361074e-20
113	3.425	5.915136812036349e-20
114	3.415	3.792669718757796e-20
115	3.385	2.4317854434596366e-20
116	3.385	1.5592131352157617e-20
117	3.385	9.99736883682731e-21
118	3.375	6.410116834074468e-21
119	3.375	4.110041201553264e-21
120	3.365	2.635277814075025e-21
121	3.345	1.6896884524494688e-21
122	3.345	1.0833950982671609e-21
123	3.335	6.946516899300481e-22
124	3.315	4.453970403728702e-22
125	3.295	2.855798473518295e-22
126	3.275	1.8310819745281346e-22
127	3.265	1.1740538516750393e-22
128	3.255	7.527803046546872e-23
129	3.225	4.8266796814090926e-23
130	3.225	3.0947723529528565e-23
131	3.185	1.9843073393686e-23
132	3.175	1.2722989506207707e-23
133	3.165	8.157731353580448e-24
134	3.145	5.230577357995939e-24
135	3.145	3.353743622112767e-24
136	3.135	2.1503546383207504e-24
137	3.125	1.3787652222606553e-24
138	3.125	8.840372207627947e-25
139	3.115	5.668273285952271e-25
140	3.105	3.6343856672140187e-25
141	3.095	2.3302968138085477e-25
142	3.085	1.4941406162348419e-25
143	3.075	9.580136606864291e-26
144	3.075	6.142595710801284e-26
145	3.065	3.9385119038197457e-26
146	3.055	2.5252965923271485e-26
147	3.055	1.6191706499691643e-26
148	3.045	1.0381804662816124e-26
149	3.005	6.656609546308272e-27
150	3.005	4.268087494528488e-27
151	2.975	2.736613997594812e-27
152	2.975	1.754663225960695e-27
153	2.945	1.1250556487852375e-27
154	2.945	7.213636178934343e-28
155	2.945	4.625242047201503e-28
156	2.945	2.9656144924072226e-28
157	2.915	1.9014938521751686e-28
158	2.905	1.2192005667348298e-28
159	2.895	7.817274929530601e-29
160	2.845	5.012283375780185e-29
161	2.835	3.213777801803748e-29
162	2.815	2.060611299288096e-29
163	2.805	1.3212235532806968e-29
164	2.795	8.471426310953234e-30
