Time [ns] - histogram	Counts - histogram
-23	0
-22.5	0
-22	0
-21.5	0
-21	0
-20.5	0
-20	0
-19.5	0
-19	0
-18.5	1
-18	1
-17.5	1
-17	4
-16.5	4
-16	4
-15.5	5
-15	3
-14.5	9
-14	13
-13.5	7
-13	13
-12.5	16
-12	30
-11.5	28
-11	45
-10.5	75
-10	85
-9.5	114
-9	175
-8.5	226
-8	242
-7.5	213
-7	179
-6.5	154
-6	93
-5.5	64
-5	44
-4.5	42
-4	25
-3.5	14
-3	15
-2.5	13
-2	4
-1.5	11
-1	8
-0.5	8
0	4
0.5	1
1	1
1.5	0
2	0
2.5	0
3	0
3.5	0
4	0
4.5	0
5	0
5.5	0
6	0
6.5	0
7	0
7.5	0
8	0
8.5	0
9	0
9.5	0
10	0
10.5	1
11	0
