Time [ns] - histogram	Counts - histogram
-11	0
-10.5	0
-10	0
-9.5	0
-9	0
-8.5	0
-8	0
-7.5	0
-7	0
-6.5	0
-6	0
-5.5	0
-5	0
-4.5	0
-4	0
-3.5	0
-3	0
-2.5	0
-2	0
-1.5	0
-1	0
-0.5	2
0	4
0.5	3
1	7
1.5	12
2	15
2.5	15
3	24
3.5	32
4	31
4.5	34
5	50
5.5	60
6	47
6.5	49
7	35
7.5	35
8	26
8.5	14
9	15
9.5	10
10	8
10.5	9
11	3
