Time [ns] - histogram	Counts - histogram
-11	11
-10.5	12
-10	18
-9.5	23
-9	33
-8.5	42
-8	50
-7.5	72
-7	110
-6.5	127
-6	205
-5.5	238
-5	372
-4.5	538
-4	807
-3.5	1068
-3	1120
-2.5	1055
-2	769
-1.5	563
-1	360
-0.5	254
0	164
0.5	121
1	111
1.5	70
2	61
2.5	46
3	49
3.5	22
4	17
4.5	10
5	14
5.5	7
6	3
6.5	4
7	3
7.5	1
8	3
8.5	2
9	1
9.5	0
10	0
10.5	0
11	0
