Time [ns] - histogram	Counts - histogram
-11	2
-10.5	0
-10	1
-9.5	1
-9	1
-8.5	0
-8	2
-7.5	3
-7	1
-6.5	2
-6	4
-5.5	10
-5	14
-4.5	29
-4	31
-3.5	43
-3	52
-2.5	53
-2	31
-1.5	20
-1	12
-0.5	10
0	9
0.5	7
1	0
1.5	4
2	4
2.5	2
3	3
3.5	1
4	0
4.5	2
5	0
5.5	0
6	0
6.5	0
7	0
7.5	0
8	0
8.5	0
9	0
9.5	0
10	0
10.5	0
11	0
